127.0.0.1 - - [17/May/2016:15:04:23 -0400] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [17/May/2016:16:29:52 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:16:30:08 -0400] "GET /ParkPalSpringMVC/register?email=jlindemu%40umflint.edu&password=123&first_name=James&last_name=Lindemulder HTTP/1.1" 200 4271
0:0:0:0:0:0:0:1 - - [17/May/2016:16:30:08 -0400] "GET /ParkPalSpringMVC/%3Cc:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:16:30:08 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:16:30:21 -0400] "GET /ParkPalSpringMVC/LoginServlet?email=jlindemu%40umflint.edu&password=123 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2016:16:30:21 -0400] "GET /ParkPalSpringMVC/userLogged HTTP/1.1" 200 6426
0:0:0:0:0:0:0:1 - - [17/May/2016:16:30:21 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:16:33:13 -0400] "GET /ParkPalSpringMVC/index.jsp HTTP/1.1" 200 4298
0:0:0:0:0:0:0:1 - - [17/May/2016:16:33:13 -0400] "GET /ParkPalSpringMVC/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2016:16:33:13 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:16:33:33 -0400] "GET /ParkPalSpringMVC/register HTTP/1.1" 200 2015
0:0:0:0:0:0:0:1 - - [17/May/2016:16:33:33 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:16:33:34 -0400] "GET /ParkPalSpringMVC/loginPage HTTP/1.1" 200 4271
0:0:0:0:0:0:0:1 - - [17/May/2016:16:33:34 -0400] "GET /ParkPalSpringMVC/%3Cc:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:16:33:34 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:16:33:36 -0400] "GET /ParkPalSpringMVC/index.jsp HTTP/1.1" 200 4298
0:0:0:0:0:0:0:1 - - [17/May/2016:16:33:36 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:16:33:43 -0400] "GET /ParkPalSpringMVC/register HTTP/1.1" 200 2015
0:0:0:0:0:0:0:1 - - [17/May/2016:16:33:43 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:16:33:47 -0400] "GET /ParkPalSpringMVC/register?email=&password=&first_name=&last_name= HTTP/1.1" 200 4271
0:0:0:0:0:0:0:1 - - [17/May/2016:16:33:47 -0400] "GET /ParkPalSpringMVC/%3Cc:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:16:33:47 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:16:34:33 -0400] "GET /ParkPalSpringMVC/LoginServlet?email=&password= HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2016:16:34:33 -0400] "GET /ParkPalSpringMVC/userLogged HTTP/1.1" 200 6410
0:0:0:0:0:0:0:1 - - [17/May/2016:16:34:33 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:16:34:51 -0400] "GET /ParkPalSpringMVC/loginPage HTTP/1.1" 200 4271
0:0:0:0:0:0:0:1 - - [17/May/2016:16:34:51 -0400] "GET /ParkPalSpringMVC/%3Cc:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:16:34:51 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:16:35:13 -0400] "GET /ParkPalSpringMVC/LoginServlet?email=sdfggjlkjh&password=df%3Bljhadfs HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2016:16:35:13 -0400] "GET /ParkPalSpringMVC/invalidLogin HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [17/May/2016:16:35:51 -0400] "GET /ParkPalSpringMVC/LoginServlet?email=craig.rodewald%40gmail.com&password=123456 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2016:16:35:51 -0400] "GET /ParkPalSpringMVC/userLogged HTTP/1.1" 200 6423
0:0:0:0:0:0:0:1 - - [17/May/2016:16:35:51 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:16:48:17 -0400] "GET /ParkPalSpringMVC/userLogged HTTP/1.1" 200 6423
0:0:0:0:0:0:0:1 - - [17/May/2016:16:48:17 -0400] "GET /ParkPalSpringMVC/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2016:16:48:17 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:16:48:19 -0400] "GET /ParkPalSpringMVC/index.jsp HTTP/1.1" 200 4298
0:0:0:0:0:0:0:1 - - [17/May/2016:16:48:19 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:16:48:56 -0400] "GET /ParkPalSpringMVC/userLogged?stringLat=34.0522342&stringLong=-118.2436849 HTTP/1.1" 200 6423
0:0:0:0:0:0:0:1 - - [17/May/2016:16:48:56 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:16:49:35 -0400] "GET /ParkPalSpringMVC/userLogged?stringLat=34.0522342&stringLong=-118.2436849 HTTP/1.1" 200 6423
0:0:0:0:0:0:0:1 - - [17/May/2016:16:49:35 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:16:49:42 -0400] "GET /ParkPalSpringMVC/index.jsp HTTP/1.1" 200 4298
0:0:0:0:0:0:0:1 - - [17/May/2016:16:49:42 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:22:14:05 -0400] "GET /ParkPalSpringMVC/userLogged?stringLat=42.331427&stringLong=-83.0457538 HTTP/1.1" 200 6414
0:0:0:0:0:0:0:1 - - [17/May/2016:22:14:05 -0400] "GET /ParkPalSpringMVC/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2016:22:14:06 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:22:14:17 -0400] "GET /ParkPalSpringMVC/index.jsp HTTP/1.1" 200 4298
0:0:0:0:0:0:0:1 - - [17/May/2016:22:14:17 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:22:14:37 -0400] "GET /ParkPalSpringMVC/userLogged?stringLat=42.331427&stringLong=-83.0457538 HTTP/1.1" 200 6414
0:0:0:0:0:0:0:1 - - [17/May/2016:22:14:37 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:22:16:54 -0400] "GET /ParkPalSpringMVC/index.jsp HTTP/1.1" 200 4353
0:0:0:0:0:0:0:1 - - [17/May/2016:22:16:54 -0400] "GET /ParkPalSpringMVC/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2016:22:16:54 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:22:16:57 -0400] "GET /ParkPalSpringMVC/index.jsp HTTP/1.1" 200 4353
0:0:0:0:0:0:0:1 - - [17/May/2016:22:16:57 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:22:17:28 -0400] "GET /ParkPalSpringMVC/index.jsp HTTP/1.1" 200 4353
0:0:0:0:0:0:0:1 - - [17/May/2016:22:17:28 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:22:17:57 -0400] "GET /ParkPalSpringMVC/ HTTP/1.1" 200 4353
0:0:0:0:0:0:0:1 - - [17/May/2016:22:17:57 -0400] "GET /ParkPalSpringMVC/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2016:22:17:57 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:22:19:41 -0400] "GET /ParkPalSpringMVC/index.jsp HTTP/1.1" 200 4353
0:0:0:0:0:0:0:1 - - [17/May/2016:22:19:41 -0400] "GET /ParkPalSpringMVC/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2016:22:19:41 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:22:23:48 -0400] "GET /ParkPalSpringMVC/index.jsp HTTP/1.1" 200 4353
0:0:0:0:0:0:0:1 - - [17/May/2016:22:23:48 -0400] "GET /ParkPalSpringMVC/resources/css/style.css HTTP/1.1" 200 5442
0:0:0:0:0:0:0:1 - - [17/May/2016:22:23:49 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:22:27:21 -0400] "GET /ParkPalSpringMVC/index.jsp HTTP/1.1" 200 4353
0:0:0:0:0:0:0:1 - - [17/May/2016:22:27:21 -0400] "GET /ParkPalSpringMVC/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2016:22:27:22 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:22:27:25 -0400] "GET /ParkPalSpringMVC/index.jsp HTTP/1.1" 200 4353
0:0:0:0:0:0:0:1 - - [17/May/2016:22:27:25 -0400] "GET /ParkPalSpringMVC/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2016:22:27:25 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:22:28:12 -0400] "GET /ParkPalSpringMVC/index.jsp HTTP/1.1" 200 4374
0:0:0:0:0:0:0:1 - - [17/May/2016:22:28:12 -0400] "GET /ParkPalSpringMVC/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2016:22:28:12 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:22:29:47 -0400] "GET /ParkPalSpringMVC/index.jsp HTTP/1.1" 200 4374
0:0:0:0:0:0:0:1 - - [17/May/2016:22:29:47 -0400] "GET /ParkPalSpringMVC/resources/css/style.css HTTP/1.1" 200 5442
0:0:0:0:0:0:0:1 - - [17/May/2016:22:29:48 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:22:30:18 -0400] "GET /ParkPalSpringMVC/index.jsp HTTP/1.1" 200 4374
0:0:0:0:0:0:0:1 - - [17/May/2016:22:30:18 -0400] "GET /ParkPalSpringMVC/resources/css/style.css HTTP/1.1" 200 5443
0:0:0:0:0:0:0:1 - - [17/May/2016:22:30:18 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:22:31:21 -0400] "GET /ParkPalSpringMVC/index.jsp HTTP/1.1" 200 4374
0:0:0:0:0:0:0:1 - - [17/May/2016:22:31:21 -0400] "GET /ParkPalSpringMVC/resources/css/style.css HTTP/1.1" 200 5443
0:0:0:0:0:0:0:1 - - [17/May/2016:22:31:21 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:22:31:45 -0400] "GET /ParkPalSpringMVC/index.jsp HTTP/1.1" 200 4374
0:0:0:0:0:0:0:1 - - [17/May/2016:22:31:45 -0400] "GET /ParkPalSpringMVC/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2016:22:31:46 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:22:32:39 -0400] "GET /ParkPalSpringMVC/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2016:22:33:45 -0400] "GET /ParkPalSpringMVC/index.jsp HTTP/1.1" 200 4374
